35,0,5,28,29,30,34,
34,4,5,27,28,33,35,
31,1,2,24,25,30,32,
30,0,1,24,29,31,35,
29,22,23,24,28,30,35,
32,2,3,25,26,31,33,
25,18,19,24,26,31,32,
21,14,15,20,22,27,28,
20,13,14,19,21,26,27,
19,12,13,18,20,25,26,
18,12,17,19,23,24,25,
33,3,4,26,27,32,34,
16,9,10,15,17,22,23,
4,3,5,10,11,33,34,
8,1,2,7,9,14,15,
3,2,4,9,10,32,33,
2,1,3,8,9,31,32,
17,10,11,12,16,18,23,
0,1,5,6,7,30,35,
28,21,22,27,29,34,35,
5,0,4,6,11,34,35,
1,0,2,7,8,30,31,
22,15,16,21,23,28,29,
6,0,5,7,11,12,13,
26,19,20,25,27,32,33,
23,16,17,18,22,24,29,
9,2,3,8,10,15,16,
27,20,21,26,28,33,34,
10,3,4,9,11,16,17,
11,4,5,6,10,12,17,
24,18,23,25,29,30,31,
12,6,11,13,17,18,19,
7,0,1,6,8,13,14,
14,7,8,13,15,20,21,
13,6,7,12,14,19,20,
15,8,9,14,16,21,22,
